JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020
12003,2404102,Mstów,3886743552.0,4731607040.0,3868918784.0,6284348416.0,6366413824.0,8207591936.0,6781630464.0,8568989184.0,8196776960.0,6845009408.0,8335650816.0,6882067968.0,6827073536.0,4955356672.0,9471397888.0,9804808192.0,9832588288.0,8593600512.0,9414780928.0,9979472896.0,9818986496.0
9325,2404082,Kruszyna,4487218176.0,5484035072.0,4492632064.0,7048144896.0,6877593600.0,8993900544.0,7439100928.0,9180767232.0,9043982336.0,7411190272.0,9329715200.0,7571584512.0,7749985280.0,5733654016.0,10593666048.0,11080163328.0,11050149888.0,9526477824.0,10826521600.0,11641968640.0,11106200576.0
7830,2404072,Konopiska,4163248896.0,5034630144.0,4185585920.0,6607648256.0,6779687424.0,8525569536.0,7071676928.0,8923188224.0,8580488704.0,7320168960.0,8829446144.0,7238968320.0,7171402240.0,5276388352.0,9911435264.0,10288992256.0,10299239424.0,9038615552.0,9872960512.0,10635110400.0,10503694336.0
5940,2404132,Poczesna,3923738368.0,4789174272.0,3932783872.0,6345044992.0,6433168384.0,8264151552.0,6828001792.0,8622374912.0,8256083456.0,6925434880.0,8489605120.0,6946098688.0,6909391872.0,5001099264.0,9573133312.0,9906364416.0,9931070464.0,8691294208.0,9521437696.0,10125540352.0,10000666624.0
15974,0608072,Lubartów,3609102080.0,3916234752.0,3897154816.0,3887599360.0,4385147904.0,5139658240.0,5133299712.0,5946772480.0,4726964224.0,2183028992.0,3443870464.0,7574374400.0,9425105920.0,11612492800.0,6047809536.0,5518243840.0,7842492928.0,11303924736.0,11922999296.0,9274772480.0,6775748608.0
8088,0809082,Trzebiechów,856328768.0,724761088.0,1034277312.0,1311615232.0,1386709888.0,865063360.0,831029568.0,1064552576.0,1182455680.0,1549382272.0,2317063936.0,1686206592.0,2054471424.0,2333148672.0,2233661184.0,2447575808.0,2592669696.0,2732730112.0,2902859776.0,3216310272.0,4173818624.0
11615,1012032,Gidle,750891328.0,887714688.0,755483136.0,917619840.0,743115904.0,933786368.0,805581824.0,816645696.0,1052598336.0,823701568.0,1178354688.0,879082240.0,1081983360.0,949550400.0,1274727808.0,1465232768.0,1383364224.0,1103384192.0,1582354048.0,1872980608.0,1495348096.0
1844,1425011,Pionki,215308864.0,221167296.0,299000768.0,248575328.0,308971904.0,289539552.0,278698368.0,298391424.0,278207328.0,340276736.0,601322496.0,315747072.0,479155264.0,584215424.0,393661248.0,425545472.0,452986752.0,540682944.0,554786880.0,682053376.0,608774720.0
33477,2008072,Trzcianne,185217120.0,171522112.0,189544464.0,210672272.0,295585536.0,183883856.0,189216048.0,246824160.0,253549456.0,337045152.0,254312944.0,238793248.0,186373744.0,227444512.0,193237472.0,230406016.0,189767200.0,197104064.0,190633872.0,200136160.0,228287904.0
9863,0223083,Siechnice,16389092352.0,14830187520.0,12712108032.0,14953470976.0,17230690304.0,18194382848.0,21367420928.0,21511391232.0,24059508736.0,25896540160.0,21859213312.0,29986093056.0,28906522624.0,33780125696.0,25986074624.0,27245086720.0,29970415616.0,29891182592.0,26589382656.0,25481433088.0,32644399104.0
