gmina_code,gmina_name,tot_pop_1998,working_pop_1998,higher_1998,post_secondary_1998,secondary_1998,secondary_general_1998,secondary_vocational_1998,vocational_1998,primary_1998,tot_pop_2002,working_pop_2002,higher_2002,post_secondary_2002,secondary_2002,secondary_general_2002,secondary_vocational_2002,vocational_2002,primary_2002,tot_pop_abs_change,tot_pop_pct_change,working_pop_abs_change,working_pop_pct_change,higher_abs_change,higher_pct_change,post_secondary_abs_change,post_secondary_pct_change,secondary_abs_change,secondary_pct_change,secondary_general_abs_change,secondary_general_pct_change,secondary_vocational_abs_change,secondary_vocational_pct_change,vocational_abs_change,vocational_pct_change,primary_abs_change,primary_pct_change
0611000,Powiat łukowski,107423.0,50571.0,1925.0,,11448.0,,,15163.0,38021.0,109383.0,61499.0,4593.0,2324.0,17727.0,5287.0,12440.0,21687.0,36268.0,1960.0,0.01824562710034164,10928.0,0.21609222677028336,2668.0,1.385974025974026,,,6279.0,0.5484800838574424,,,,,6524.0,0.4302578645386797,-1753.0,-0.046106099260934744
0612000,Powiat opolski,66458.0,32430.0,1425.0,,8363.0,,,9583.0,22608.0,64055.0,37058.0,3030.0,1864.0,12432.0,3457.0,8975.0,12483.0,20202.0,-2403.0,-0.03615817508802552,4628.0,0.14270736971939563,1605.0,1.1263157894736842,,,4069.0,0.48654788951333255,,,,,2900.0,0.30261922153814047,-2406.0,-0.10642250530785563
0613000,Powiat parczewski,39623.0,18797.0,940.0,,5031.0,,,5291.0,14139.0,37543.0,21180.0,1932.0,1219.0,7410.0,1949.0,5461.0,6256.0,12706.0,-2080.0,-0.05249476314261919,2383.0,0.12677554928978027,992.0,1.0553191489361702,,,2379.0,0.4728682170542636,,,,,965.0,0.1823851823851824,-1433.0,-0.10135087347054247
0614000,Powiat puławski,121277.0,63459.0,5703.0,,22074.0,,,20418.0,34024.0,118202.0,71414.0,10479.0,3786.0,28814.0,6044.0,22770.0,22718.0,29175.0,-3075.0,-0.0253551786406326,7955.0,0.12535652941269165,4776.0,0.8374539715938979,,,6740.0,0.30533659508924527,,,,,2300.0,0.11264570477030071,-4849.0,-0.1425170467905008
0615000,Powiat radzyński,63651.0,30639.0,1372.0,,7672.0,,,8974.0,22298.0,62232.0,35135.0,2723.0,1917.0,11120.0,2987.0,8133.0,11464.0,20524.0,-1419.0,-0.02229344393646604,4496.0,0.14674108162799046,1351.0,0.9846938775510204,,,3448.0,0.4494264859228363,,,,,2490.0,0.27746824158680633,-1774.0,-0.07955870481657548
0616000,Powiat rycki,63742.0,30855.0,2186.0,,10148.0,,,10367.0,18162.0,61043.0,35579.0,3959.0,1759.0,14035.0,3217.0,10818.0,11817.0,15995.0,-2699.0,-0.0423425684791817,4724.0,0.15310322476097876,1773.0,0.8110704483074108,,,3887.0,0.3830311391407174,,,,,1450.0,0.13986688530915406,-2167.0,-0.11931505340821495
0617000,Powiat świdnicki,73607.0,38963.0,3166.0,,14252.0,,,12254.0,21415.0,72382.0,45049.0,6029.0,2464.0,19397.0,5401.0,13996.0,13112.0,18173.0,-1225.0,-0.01664243889847433,6086.0,0.15619947129327824,2863.0,0.9042956411876184,,,5145.0,0.3610019646365422,,,,,858.0,0.07001795332136446,-3242.0,-0.15138921316833995
0618000,Powiat tomaszowski,93241.0,45224.0,1959.0,,12364.0,,,12038.0,31962.0,90530.0,51463.0,4300.0,2102.0,18570.0,4242.0,14328.0,15089.0,29575.0,-2711.0,-0.02907519224375543,6239.0,0.13795772156377145,2341.0,1.1949974476773864,,,6206.0,0.5019411193788418,,,,,3051.0,0.25344741651437114,-2387.0,-0.07468243539202803
0619000,Powiat włodawski,42737.0,20661.0,937.0,,6045.0,,,5251.0,14521.0,41052.0,23825.0,2152.0,1205.0,8442.0,2511.0,5931.0,6715.0,13270.0,-1685.0,-0.03942719423450406,3164.0,0.1531387638546053,1215.0,1.2966915688367129,,,2397.0,0.3965260545905707,,,,,1464.0,0.27880403732622355,-1251.0,-0.0861510915226224
0620000,Powiat zamojski,117168.0,55852.0,1675.0,,13088.0,,,16819.0,42075.0,111560.0,61086.0,4249.0,2304.0,19939.0,4802.0,15137.0,20971.0,37526.0,-5608.0,-0.04786289771951386,5234.0,0.09371195301869226,2574.0,1.5367164179104478,,,6851.0,0.5234566014669927,,,,,4152.0,0.24686366609191984,-4549.0,-0.108116458704694
0661000,Powiat m. Biała Podlaska,50807.0,26531.0,3382.0,,12308.0,,,8229.0,10226.0,58311.0,37128.0,6583.0,2738.0,17674.0,6129.0,11545.0,8979.0,11452.0,7504.0,0.1476961835967485,10597.0,0.39941954694508314,3201.0,0.946481371969249,,,5366.0,0.4359766005849854,,,,,750.0,0.09114108640174991,1226.0,0.11989047525914336
