teryt_powiat,powiat_name,wojewodztwo_code
1817,Powiat sanocki,18
1818,Powiat stalowowolski,18
1819,Powiat strzyżowski,18
1820,Powiat tarnobrzeski,18
1821,Powiat leski,18
1861,Powiat m.Krosno,18
1862,Powiat m.Przemyśl,18
1863,Powiat m.Rzeszów,18
1864,Powiat m.Tarnobrzeg,18
2001,Powiat augustowski,20
2002,Powiat białostocki,20
2003,Powiat bielski,20
2004,Powiat grajewski,20
2005,Powiat hajnowski,20
2006,Powiat kolneński,20
2007,Powiat łomżyński,20
2008,Powiat moniecki,20
2009,Powiat sejneński,20
2010,Powiat siemiatycki,20
2011,Powiat sokólski,20
2012,Powiat suwalski,20
2013,Powiat wysokomazowiecki,20
2014,Powiat zambrowski,20
2061,Powiat m.Białystok,20
2062,Powiat m.Łomża,20
2063,Powiat m.Suwałki,20
2201,Powiat bytowski,22
2202,Powiat chojnicki,22
2203,Powiat człuchowski,22
2204,Powiat gdański,22
2205,Powiat kartuski,22
2206,Powiat kościerski,22
2207,Powiat kwidzyński,22
2208,Powiat lęborski,22
2209,Powiat malborski,22
2210,Powiat nowodworski,22
2211,Powiat pucki,22
2212,Powiat słupski,22
2213,Powiat starogardzki,22
2214,Powiat tczewski,22
2215,Powiat wejherowski,22
2216,Powiat sztumski,22
2261,Powiat m.Gdańsk,22
2262,Powiat m.Gdynia,22
2263,Powiat m.Słupsk,22
2264,Powiat m.Sopot,22
2401,Powiat będziński,24
2402,Powiat bielski,24
2403,Powiat cieszyński,24
2404,Powiat częstochowski,24
2405,Powiat gliwicki,24
2406,Powiat kłobucki,24
2407,Powiat lubliniecki,24
2408,Powiat mikołowski,24
2409,Powiat myszkowski,24
2410,Powiat pszczyński,24
2411,Powiat raciborski,24
2412,Powiat rybnicki,24
2413,Powiat tarnogórski,24
2414,Powiat bieruńsko-lędziński,24
2415,Powiat wodzisławski,24
2416,Powiat zawierciański,24
2417,Powiat żywiecki,24
2461,Powiat m.Bielsko-Biała,24
2462,Powiat m.Bytom,24
2463,Powiat m.Chorzów,24
2464,Powiat m.Częstochowa,24
2465,Powiat m.Dąbrowa Górnicza,24
2466,Powiat m.Gliwice,24
2467,Powiat m.Jastrzębie-Zdrój,24
2468,Powiat m.Jaworzno,24
2469,Powiat m.Katowice,24
2470,Powiat m.Mysłowice,24
2471,Powiat m.Piekary Śląskie,24
2472,Powiat m.Ruda Śląska,24
2473,Powiat m.Rybnik,24
2474,Powiat m.Siemianowice Śląskie,24
2475,Powiat m.Sosnowiec,24
2476,Powiat m.Świętochłowice,24
2477,Powiat m.Tychy,24
2478,Powiat m.Zabrze,24
2479,Powiat m.Żory,24
2601,Powiat buski,26
2602,Powiat jędrzejowski,26
2603,Powiat kazimierski,26
2604,Powiat kielecki,26
2605,Powiat konecki,26
2606,Powiat opatowski,26
2607,Powiat ostrowiecki,26
2608,Powiat pińczowski,26
2609,Powiat sandomierski,26
2610,Powiat skarżyski,26
2611,Powiat starachowicki,26
2612,Powiat staszowski,26
2613,Powiat włoszczowski,26
2661,Powiat m.Kielce,26
2801,Powiat bartoszycki,28
2802,Powiat braniewski,28
2803,Powiat działdowski,28
2804,Powiat elbląski,28
2805,Powiat ełcki,28
2806,Powiat giżycki,28
2807,Powiat iławski,28
2808,Powiat kętrzyński,28
2809,Powiat lidzbarski,28
2810,Powiat mrągowski,28
2811,Powiat nidzicki,28
2812,Powiat nowomiejski,28
2813,Powiat olecki,28
2814,Powiat olsztyński,28
2815,Powiat ostródzki,28
2816,Powiat piski,28
2817,Powiat szczycieński,28
2818,Powiat gołdapski,28
2819,Powiat węgorzewski,28
2861,Powiat m.Elbląg,28
2862,Powiat m.Olsztyn,28
3001,Powiat chodzieski,30
3002,Powiat czarnkowsko-trzcianecki,30
3003,Powiat gnieźnieński,30
3004,Powiat gostyński,30
3005,Powiat grodziski,30
3006,Powiat jarociński,30
3007,Powiat kaliski,30
3008,Powiat kępiński,30
3009,Powiat kolski,30
3010,Powiat koniński,30
3011,Powiat kościański,30
3012,Powiat krotoszyński,30
3013,Powiat leszczyński,30
3014,Powiat międzychodzki,30
3015,Powiat nowotomyski,30
3016,Powiat obornicki,30
3017,Powiat ostrowski,30
3018,Powiat ostrzeszowski,30
3019,Powiat pilski,30
3020,Powiat pleszewski,30
3021,Powiat poznański,30
3022,Powiat rawicki,30
3023,Powiat słupecki,30
3024,Powiat szamotulski,30
3025,Powiat średzki,30
3026,Powiat śremski,30
3027,Powiat turecki,30
3028,Powiat wągrowiecki,30
3029,Powiat wolsztyński,30
3030,Powiat wrzesiński,30
3031,Powiat złotowski,30
3061,Powiat m.Kalisz,30
3062,Powiat m.Konin,30
3063,Powiat m.Leszno,30
3064,Powiat m.Poznań,30
3201,Powiat białogardzki,32
3202,Powiat choszczeński,32
3203,Powiat drawski,32
3204,Powiat goleniowski,32
3205,Powiat gryficki,32
3206,Powiat gryfiński,32
3207,Powiat kamieński,32
3208,Powiat kołobrzeski,32
3209,Powiat koszaliński,32
3210,Powiat myśliborski,32
3211,Powiat policki,32
3212,Powiat pyrzycki,32
3213,Powiat sławieński,32
3214,Powiat stargardzki,32
3215,Powiat szczecinecki,32
3216,Powiat świdwiński,32
3217,Powiat wałecki,32
3218,Powiat łobeski,32
3261,Powiat m.Koszalin,32
3262,Powiat m.Szczecin,32
3263,Powiat m.Świnoujście,32
